img,id,nombre,mega,tipo_1,tipo_2,total_pc
https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png,0001,Bulbasaur,No Existe,Grass,Poison,318
https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png,0002,Ivysaur,No Existe,Grass,Poison,405
https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png,0003,Venusaur,No Existe,Grass,Poison,525
https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png,0003,Venusaur,Mega Venusaur,Grass,Poison,625
https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png,0004,Charmander,No Existe,Fire,,309
https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png,0005,Charmeleon,No Existe,Fire,,405
https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png,0006,Charizard,No Existe,Fire,Flying,534
https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png,0006,Charizard,Mega Charizard X,Fire,Dragon,634
https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png,0006,Charizard,Mega Charizard Y,Fire,Flying,634
https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png,0007,Squirtle,No Existe,Water,,314
https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png,0008,Wartortle,No Existe,Water,,405
https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png,0009,Blastoise,No Existe,Water,,530
https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise-mega.png,0009,Blastoise,Mega Blastoise,Water,,630
https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png,0010,Caterpie,No Existe,Bug,,195
https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png,0011,Metapod,No Existe,Bug,,205
https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png,0012,Butterfree,No Existe,Bug,Flying,395
https://img.pokemondb.net/sprites/scarlet-violet/icon/weedle.png,0013,Weedle,No Existe,Bug,Poison,195
https://img.pokemondb.net/sprites/scarlet-violet/icon/kakuna.png,0014,Kakuna,No Existe,Bug,Poison,205
https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill.png,0015,Beedrill,No Existe,Bug,Poison,395
https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill-mega.png,0015,Beedrill,Mega Beedrill,Bug,Poison,495
https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgey.png,0016,Pidgey,No Existe,Normal,Flying,251
https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeotto.png,0017,Pidgeotto,No Existe,Normal,Flying,349
https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot.png,0018,Pidgeot,No Existe,Normal,Flying,479
https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot-mega.png,0018,Pidgeot,Mega Pidgeot,Normal,Flying,579
https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata.png,0019,Rattata,No Existe,Normal,,253
https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata-alolan.png,0019,Rattata,Alolan Rattata,Dark,Normal,253
https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate.png,0020,Raticate,No Existe,Normal,,413
https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate-alolan.png,0020,Raticate,Alolan Raticate,Dark,Normal,413
